streamid,Year,SPECIES_QUALIFIED,cu_name_pse,cuid,stream_name_pse,PSE_source,TTC_Species,TTC_STOCK_MATCH,TTC_RECORD_MATCH,TTC_METHOD,TTC_QUALITY,POP_ID,IS_INDICATOR,latitude,longitude,Spn_TTC,Spn_Combined
10129,1923,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1924,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1925,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1926,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1927,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1928,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1929,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1930,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1931,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1932,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1933,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1934,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1935,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1936,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1937,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1938,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1939,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1940,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
10129,1941,CK,Alsek,1004,KLUKSHU RIVER,TTC,Chinook,Alsek River,Klukshu - Escapement,Fence count minus harvest,1,44857,Y,60.11586335,-137.0362158,NA,NA
